folio,fecha,producto_id,cantidad,precio_unitario,canal
DP-260616-5176,2026-06-16,12,1,76.20,WhatsApp
DP-260616-6269,2026-06-16,7,1,70.70,WhatsApp
DP-260616-2936,2026-06-16,3,3,80.80,WhatsApp
DP-260616-2936,2026-06-16,1,2,86.00,WhatsApp
DP-260616-2936,2026-06-16,6,3,86.00,WhatsApp
DP-260616-2879,2026-06-16,2,3,86.00,WhatsApp
DP-260616-2879,2026-06-16,8,3,70.70,WhatsApp
DP-260616-2879,2026-06-16,1,2,86.00,WhatsApp
DP-260617-8269,2026-06-17,1,3,86.00,WhatsApp
DP-260617-8269,2026-06-17,7,1,70.70,WhatsApp
DP-260617-8269,2026-06-17,2,1,86.00,WhatsApp
DP-260617-1508,2026-06-17,6,2,86.00,Tienda
DP-260617-5204,2026-06-17,4,1,80.80,Tienda
DP-260617-5204,2026-06-17,2,3,86.00,Tienda
DP-260617-9482,2026-06-17,3,3,80.80,WhatsApp
DP-260617-9106,2026-06-17,6,2,86.00,WhatsApp
DP-260617-9106,2026-06-17,7,1,70.70,WhatsApp
DP-260617-9106,2026-06-17,13,1,76.20,WhatsApp
DP-260617-5986,2026-06-17,4,1,80.80,WhatsApp
DP-260617-5986,2026-06-17,2,3,86.00,WhatsApp
DP-260617-5986,2026-06-17,8,1,70.70,WhatsApp
DP-260618-7819,2026-06-18,8,2,70.70,Tienda
DP-260618-1695,2026-06-18,4,1,80.80,WhatsApp
DP-260618-1695,2026-06-18,13,2,76.20,WhatsApp
DP-260618-1695,2026-06-18,8,3,70.70,WhatsApp
DP-260618-1695,2026-06-18,11,1,76.20,WhatsApp
DP-260618-2255,2026-06-18,7,1,70.70,WhatsApp
DP-260618-1383,2026-06-18,3,1,80.80,WhatsApp
DP-260618-1383,2026-06-18,5,2,72.30,WhatsApp
DP-260618-1383,2026-06-18,10,1,76.20,WhatsApp
DP-260618-1383,2026-06-18,6,3,86.00,WhatsApp
DP-260618-9910,2026-06-18,4,2,80.80,Tienda
DP-260618-9910,2026-06-18,2,3,86.00,Tienda
DP-260619-3698,2026-06-19,11,2,76.20,Tienda
DP-260619-3698,2026-06-19,3,3,80.80,Tienda
DP-260619-3698,2026-06-19,13,3,76.20,Tienda
DP-260619-4351,2026-06-19,8,2,70.70,WhatsApp
DP-260619-4351,2026-06-19,12,1,76.20,WhatsApp
DP-260619-4351,2026-06-19,11,1,76.20,WhatsApp
DP-260620-3080,2026-06-20,12,1,76.20,WhatsApp
DP-260620-3080,2026-06-20,1,1,86.00,WhatsApp
DP-260620-3080,2026-06-20,2,2,86.00,WhatsApp
DP-260620-7007,2026-06-20,11,3,76.20,WhatsApp
DP-260620-7007,2026-06-20,4,3,80.80,WhatsApp
DP-260620-5472,2026-06-20,8,2,70.70,Tienda
DP-260620-5472,2026-06-20,6,2,86.00,Tienda
DP-260620-5472,2026-06-20,4,1,80.80,Tienda
DP-260620-1247,2026-06-20,13,1,76.20,Tienda
DP-260620-6113,2026-06-20,5,1,72.30,WhatsApp
DP-260620-6113,2026-06-20,8,3,70.70,WhatsApp
DP-260620-6113,2026-06-20,10,3,76.20,WhatsApp
DP-260620-2043,2026-06-20,1,2,86.00,WhatsApp
DP-260620-2043,2026-06-20,3,3,80.80,WhatsApp
DP-260620-2043,2026-06-20,12,3,76.20,WhatsApp
DP-260620-2574,2026-06-20,10,3,76.20,Tienda
DP-260620-2574,2026-06-20,13,3,76.20,Tienda
DP-260620-4459,2026-06-20,1,1,86.00,Tienda
DP-260621-9854,2026-06-21,8,3,70.70,WhatsApp
DP-260621-9854,2026-06-21,7,1,70.70,WhatsApp
DP-260621-9854,2026-06-21,13,1,76.20,WhatsApp
DP-260621-9854,2026-06-21,5,2,72.30,WhatsApp
DP-260621-8280,2026-06-21,12,3,76.20,Tienda
DP-260621-8280,2026-06-21,2,2,86.00,Tienda
DP-260621-8280,2026-06-21,4,2,80.80,Tienda
DP-260621-8280,2026-06-21,3,3,80.80,Tienda
DP-260621-2758,2026-06-21,7,3,70.70,WhatsApp
DP-260621-7777,2026-06-21,13,3,76.20,Tienda
DP-260621-4229,2026-06-21,6,3,86.00,Tienda
DP-260621-4229,2026-06-21,8,1,70.70,Tienda
DP-260621-9624,2026-06-21,10,1,76.20,WhatsApp
DP-260621-9624,2026-06-21,1,2,86.00,WhatsApp
DP-260621-9624,2026-06-21,4,3,80.80,WhatsApp
DP-260621-6930,2026-06-21,8,1,70.70,Tienda
DP-260621-6930,2026-06-21,7,2,70.70,Tienda
DP-260621-6930,2026-06-21,5,1,72.30,Tienda
DP-260621-4811,2026-06-21,9,3,80.80,Tienda
DP-260621-4811,2026-06-21,8,2,70.70,Tienda
DP-260621-4811,2026-06-21,1,1,86.00,Tienda
DP-260622-5227,2026-06-22,10,1,76.20,Tienda
DP-260622-9436,2026-06-22,3,1,80.80,WhatsApp
DP-260622-9436,2026-06-22,9,3,80.80,WhatsApp
DP-260622-3725,2026-06-22,10,3,76.20,Tienda
DP-260622-3725,2026-06-22,1,1,86.00,Tienda
DP-260622-3725,2026-06-22,5,2,72.30,Tienda
DP-260622-2727,2026-06-22,2,1,86.00,WhatsApp
DP-260622-6354,2026-06-22,11,1,76.20,Tienda
DP-260622-6354,2026-06-22,6,1,86.00,Tienda
DP-260622-6354,2026-06-22,9,2,80.80,Tienda
DP-260623-8196,2026-06-23,1,1,86.00,WhatsApp
DP-260623-8196,2026-06-23,6,1,86.00,WhatsApp
DP-260623-8196,2026-06-23,11,3,76.20,WhatsApp
DP-260623-9198,2026-06-23,3,2,80.80,Tienda
DP-260623-9198,2026-06-23,6,3,86.00,Tienda
DP-260623-3914,2026-06-23,10,1,76.20,Tienda
DP-260623-3914,2026-06-23,8,2,70.70,Tienda
DP-260623-7626,2026-06-23,3,1,80.80,Tienda
DP-260623-7626,2026-06-23,10,1,76.20,Tienda
DP-260624-1923,2026-06-24,2,3,86.00,WhatsApp
DP-260624-1923,2026-06-24,1,3,86.00,WhatsApp
DP-260624-3510,2026-06-24,6,2,86.00,Tienda
DP-260624-4099,2026-06-24,12,2,76.20,WhatsApp
DP-260624-8799,2026-06-24,1,2,86.00,WhatsApp
DP-260624-8799,2026-06-24,11,1,76.20,WhatsApp
DP-260624-8799,2026-06-24,8,2,70.70,WhatsApp
DP-260624-2725,2026-06-24,12,1,76.20,WhatsApp
DP-260624-2725,2026-06-24,9,1,80.80,WhatsApp
DP-260624-7996,2026-06-24,4,3,80.80,WhatsApp
DP-260624-7996,2026-06-24,2,1,86.00,WhatsApp
DP-260624-7996,2026-06-24,12,1,76.20,WhatsApp
DP-260624-8740,2026-06-24,1,1,86.00,WhatsApp
DP-260624-8740,2026-06-24,4,1,80.80,WhatsApp
DP-260624-8740,2026-06-24,8,1,70.70,WhatsApp
DP-260624-8740,2026-06-24,13,1,76.20,WhatsApp
DP-260625-2137,2026-06-25,1,2,86.00,Tienda
DP-260625-1171,2026-06-25,12,3,76.20,WhatsApp
DP-260625-4672,2026-06-25,12,3,76.20,WhatsApp
DP-260625-4672,2026-06-25,5,2,72.30,WhatsApp
DP-260625-4672,2026-06-25,4,2,80.80,WhatsApp
DP-260626-7476,2026-06-26,1,1,86.00,WhatsApp
DP-260626-7476,2026-06-26,11,3,76.20,WhatsApp
DP-260626-7476,2026-06-26,12,3,$76.20,WhatsApp
DP-260626-7476,2026-06-26,10,1,76.20,WhatsApp
DP-260626-7885,2026-06-26,5,3,72.30,Tienda
DP-260626-7885,2026-06-26,11,3,76.20,Tienda
DP-260626-7885,2026-06-26,7,3,70.70,Tienda
DP-260626-9336,2026-06-26,10,3,76.20,Tienda
DP-260626-9336,2026-06-26,8,3,70.70,Tienda
DP-260626-9336,2026-06-26,3,3,80.80,Tienda
DP-260626-4823,2026-06-26,13,3,76.20,WhatsApp
DP-260626-4823,2026-06-26,2,2,86.00,WhatsApp
DP-260626-4823,2026-06-26,4,2,80.80,WhatsApp
DP-260626-4790,2026-06-26,4,2,80.80,WhatsApp
DP-260626-4790,2026-06-26,2,3,86.00,WhatsApp
DP-260626-4790,2026-06-26,12,3,76.20,WhatsApp
DP-260626-4790,2026-06-26,7,2,70.70,WhatsApp
DP-260626-9195,2026-06-26,7,3,70.70,WhatsApp
DP-260626-9195,2026-06-26,6,1,86.00,WhatsApp
DP-260626-9195,2026-06-26,5,1,72.30,WhatsApp
DP-260626-9195,2026-06-26,4,3,80.80,WhatsApp
DP-260626-3462,2026-06-26,8,3,70.70,Tienda
DP-260626-3462,2026-06-26,10,2,76.20,Tienda
DP-260627-1894,2026-06-27,3,1,80.80,WhatsApp
DP-260627-6277,2026-06-27,12,1,76.20,WhatsApp
DP-260627-6277,2026-06-27,11,2,76.20,WhatsApp
DP-260627-6277,2026-06-27,2,3,86.00,WhatsApp
DP-260627-6277,2026-06-27,3,2,80.80,WhatsApp
DP-260627-5054,2026-06-27,5,1,72.30,WhatsApp
DP-260627-5054,2026-06-27,8,2,70.70,WhatsApp
DP-260627-5054,2026-06-27,1,3,86.00,WhatsApp
DP-260627-9876,2026-06-27,4,1,80.80,WhatsApp
DP-260627-6817,2026-06-27,1,2,86.00,WhatsApp
DP-260627-6817,2026-06-27,4,3,80.80,WhatsApp
DP-260628-3715,2026-06-28,3,1,80.80,WhatsApp
DP-260628-3715,2026-06-28,11,1,76.20,WhatsApp
DP-260628-3715,2026-06-28,5,1,72.30,WhatsApp
DP-260628-3715,2026-06-28,7,2,70.70,WhatsApp
DP-260628-3575,2026-06-28,12,2,76.20,WhatsApp
DP-260628-3575,2026-06-28,10,2,76.20,WhatsApp
DP-260628-4464,2026-06-28,8,3,70.70,WhatsApp
DP-260628-4464,2026-06-28,11,2,76.20,WhatsApp
DP-260628-4464,2026-06-28,7,3,70.70,WhatsApp
DP-260628-3505,2026-06-28,8,2,70.70,WhatsApp
DP-260628-3505,2026-06-28,11,2,76.20,WhatsApp
DP-260628-3505,2026-06-28,6,3,86.00,WhatsApp
DP-260628-2328,2026-06-28,6,2,86.00,Tienda
DP-260628-3959,2026-06-28,4,3,80.80,Tienda
DP-260628-3959,2026-06-28,6,2,86.00,Tienda
DP-260628-1941,2026-06-28,13,2,76.20,WhatsApp
DP-260628-1941,2026-06-28,8,3,70.70,WhatsApp
DP-260628-1941,2026-06-28,12,2,76.20,WhatsApp
DP-260628-5238,2026-06-28,5,3,72.30,Tienda
DP-260629-9195,2026-06-29,4,3,80.80,WhatsApp
DP-260629-9195,2026-06-29,10,3,76.20,WhatsApp
DP-260629-5470,2026-06-29,8,1,70.70,WhatsApp
DP-260629-8392,2026-06-29,4,1,80.80,WhatsApp
DP-260629-3166,2026-06-29,3,2,80.80,WhatsApp
DP-260629-3166,2026-06-29,7,3,70.70,WhatsApp
DP-260629-3166,2026-06-29,1,1,86.00,WhatsApp
